	x		sin^2(x)	sin^2'(x) a.	sin^2'(x) par.	sin^2''(x) a.	sin^2''(x) par.
2.849998	0.082645	-0.550689		-0.542305		1.669422		1.669303
2.859998	0.077222	-0.533885		-0.525394		1.691114		1.691058
2.869998	0.071968	-0.516868		-0.508273		1.712130		1.712069
2.879998	0.066885	-0.499645		-0.490949		1.732460		1.732484
2.889998	0.061975	-0.482222		-0.473429		1.752099		1.752004
2.899998	0.057241	-0.464605		-0.455719		1.771036		1.771003
2.909998	0.052684	-0.446803		-0.437827		1.789264		1.789183
2.919998	0.048306	-0.428823		-0.419760		1.806777		1.806691
2.929998	0.044108	-0.410670		-0.401525		1.823568		1.823530
2.939998	0.040093	-0.392354		-0.383129		1.839629		1.839548
2.949998	0.036261	-0.373880		-0.364580		1.854954		1.854897
2.959998	0.032616	-0.355257		-0.345886		1.869537		1.869462
2.969998	0.029157	-0.336492		-0.327053		1.883373		1.883321
2.979998	0.025886	-0.317592		-0.308089		1.896455		1.896378
2.989998	0.022805	-0.298565		-0.289002		1.908778		1.908708
2.999998	0.019915	-0.279419		-0.269799		1.920338		1.920294
3.009998	0.017217	-0.260161		-0.250488		1.931130		1.931023
3.019998	0.014713	-0.240799		-0.231077		1.941150		1.941100
3.029998	0.012402	-0.221341		-0.211574		1.950393		1.950320
3.039998	0.010286	-0.201794		-0.191986		1.958856		1.958786
3.049998	0.008366	-0.182166		-0.172322		1.966535		1.966469
3.059998	0.006643	-0.162466		-0.152588		1.973428		1.973352
3.069998	0.005117	-0.142700		-0.132794		1.979532		1.979461
3.079998	0.003789	-0.122878		-0.112946		1.984844		1.984774
3.089998	0.002660	-0.103006		-0.093053		1.989361		1.989291
3.099998	0.001729	-0.083093		-0.073123		1.993083		1.993012
3.109998	0.000998	-0.063147		-0.053163		1.996008		1.995938
3.119998	0.000466	-0.043176		-0.033183		1.998135		1.998065
3.129998	0.000134	-0.023187		-0.013189		1.999462		1.999392
3.139998	0.000003	-0.003189		0.006810		1.999990		1.999919
3.149998	0.000071	0.016810		0.026807		1.999717		1.999647
3.159998	0.000339	0.036802		0.046793		1.998645		1.998575
3.169998	0.000807	0.056780		0.066760		1.996773		1.996703
3.179998	0.001474	0.076735		0.086700		1.994103		1.994032
3.189998	0.002341	0.096659		0.106606		1.990635		1.990566
3.199998	0.003407	0.116545		0.126469		1.986371		1.986299
3.209998	0.004672	0.136384		0.146281		1.981312		1.981247
3.219998	0.006135	0.156169		0.166035		1.975461		1.975387
3.229998	0.007795	0.175891		0.185723		1.968819		1.968755
3.239998	0.009652	0.195542		0.205336		1.961390		1.961314
3.249998	0.011706	0.215116		0.224867		1.953177		1.953114
3.259998	0.013954	0.234603		0.244308		1.944182		1.944108
3.269998	0.016397	0.253997		0.263651		1.934410		1.934357
3.279998	0.019034	0.273289		0.282889		1.923864		1.923777
3.289998	0.021863	0.292471		0.302014		1.912548		1.912490
3.299998	0.024883	0.311537		0.321018		1.900468		1.900401
3.309998	0.028093	0.330478		0.339894		1.887627		1.887567
3.319998	0.031492	0.349287		0.358633		1.874031		1.873951
3.329998	0.035078	0.367956		0.377230		1.859686		1.859628
3.339998	0.038851	0.386478		0.395675		1.844597		1.844540
3.349998	0.042808	0.404846		0.413962		1.828770		1.828671
3.359998	0.046947	0.423051		0.432084		1.812211		1.812205
3.369998	0.051268	0.441088		0.450032		1.794928		1.794808
3.379998	0.055768	0.458947		0.467801		1.776927		1.776889
3.389998	0.060446	0.476624		0.485382		1.758215		1.758151
3.399998	0.065300	0.494109		0.502770		1.738799		1.738742
3.409998	0.070328	0.511397		0.519956		1.718689		1.718626
3.419998	0.075527	0.528481		0.536934		1.697891		1.697838
3.429998	0.080897	0.545353		0.553698		1.676413		1.676381
3.439998	0.086434	0.562007		0.570240		1.654265		1.654178
3.449998	0.092136	0.578436		0.586554		1.631456		1.631379
3.459998	0.098002	0.594634		0.602634		1.607993		1.607984
3.469998	0.104028	0.610594		0.618471		1.583888		1.583770
3.479998	0.110213	0.626309		0.634062		1.559149		1.559109
3.489998	0.116553	0.641775		0.649400		1.533787		1.533777
3.499998	0.123047	0.656983		0.664477		1.507811		1.507700
3.509998	0.129692	0.671929		0.679289		1.481232		1.481176
3.519998	0.136485	0.686606		0.693829		1.454060		1.454055
3.529998	0.143423	0.701008		0.708093		1.426307		1.426339
3.539998	0.150504	0.715130		0.722070		1.397983		1.397729
3.549998	0.157725	0.728966		0.735763		1.369100		1.369268
3.559998	0.165083	0.742510		0.749157		1.339670		1.339465
3.569998	0.172574	0.755757		0.762254		1.309704		1.309663
3.579998	0.180197	0.768702		0.775047		1.279213		1.279265
3.589998	0.187947	0.781340		0.787528		1.248212		1.248121
3.599998	0.195822	0.793665		0.799695		1.216710		1.216680
3.609998	0.203819	0.805672		0.811541		1.184723		1.184642
3.619998	0.211935	0.817358		0.823064		1.152261		1.152307
3.629997	0.220165	0.828716		0.834256		1.119339		1.119226
3.639997	0.228508	0.839743		0.845115		1.085968		1.085848
3.649997	0.236959	0.850434		0.855638		1.052164		1.052320
3.659997	0.245515	0.860785		0.865817		1.017938		1.017898
3.669997	0.254174	0.870791		0.875649		0.983305		0.983179
3.679997	0.262930	0.880450		0.885129		0.948280		0.948012
3.689997	0.271781	0.889756		0.894260		0.912874		0.913143
3.699997	0.280724	0.898706		0.903031		0.877104		0.877082
3.709997	0.289754	0.907297		0.911438		0.840983		0.840724
3.719997	0.298869	0.915524		0.919485		0.804525		0.804663
3.729997	0.308064	0.923386		0.927162		0.767746		0.767708
3.739997	0.317335	0.930878		0.934470		0.730659		0.730753
3.749997	0.326680	0.937998		0.941402		0.693280		0.693202
3.759997	0.336094	0.944743		0.947955		0.655624		0.655353
3.769997	0.345573	0.951110		0.954133		0.617706		0.617802
3.779997	0.355115	0.957096		0.959930		0.579541		0.579655
3.789997	0.364714	0.962700		0.965342		0.541144		0.541210
3.799997	0.374368	0.967918		0.970364		0.502530		0.502169
3.809997	0.384071	0.972750		0.975004		0.463715		0.464022
3.819997	0.393821	0.977192		0.979248		0.424715		0.424385
3.829997	0.403614	0.981243		0.983107		0.385545		0.385940
3.839997	0.413445	0.984902		0.986564		0.346221		0.345707
3.849997	0.423310	0.988167		0.989637		0.306758		0.307262
3.859997	0.433207	0.991037		0.992304		0.267173		0.266731
3.869997	0.443130	0.993510		0.994581		0.227481		0.227690
3.879997	0.453076	0.995586		0.996459		0.187698		0.187755
3.889997	0.463040	0.997264		0.997937		0.147839		0.147820
3.899997	0.473020	0.998543		0.999013		0.107922		0.107586
3.909997	0.483010	0.999422		0.999695		0.067961		0.068247
3.919997	0.493007	0.999902		0.999978		0.027974		0.028312
3.929997	0.503006	0.999982		0.999850		-0.012026		-0.012815
3.939997	0.513005	0.999662		0.999337		-0.052020		-0.051260
3.949997	0.522998	0.998942		0.998414		-0.091993		-0.092387
3.959997	0.532982	0.997822		0.997090		-0.131930		-0.132322
3.969997	0.542953	0.996303		0.995380		-0.171813		-0.171065
3.979997	0.552907	0.994386		0.993258		-0.211628		-0.212193
3.989997	0.562840	0.992071		0.990748		-0.251359		-0.250936
3.999997	0.572747	0.989359		0.987864		-0.290989		-0.288486
4.009997	0.582626	0.986251		0.984555		-0.330503		-0.328422
4.019998	0.592471	0.982749		0.980854		-0.369885		-0.370145
4.029998	0.602280	0.978854		0.976765		-0.409120		-0.408888
4.039998	0.612048	0.974567		0.972289		-0.448190		-0.447631
4.049998	0.621770	0.969891		0.967407		-0.487082		-0.488162
4.059999	0.631445	0.964826		0.962156		-0.525778		-0.525117
4.069999	0.641066	0.959376		0.956511		-0.564264		-0.564456
4.079999	0.650631	0.953541		0.950491		-0.602525		-0.602007
4.089999	0.660136	0.947326		0.944078		-0.640544		-0.641346
4.099999	0.669577	0.940731		0.937301		-0.678308		-0.677705
4.110000	0.678950	0.933760		0.930136		-0.715800		-0.716448
4.120000	0.688251	0.926416		0.922614		-0.753005		-0.752211
4.130000	0.697477	0.918701		0.914711		-0.789910		-0.790358
4.140000	0.706625	0.910618		0.906444		-0.826498		-0.826716
4.150001	0.715689	0.902171		0.897819		-0.862756		-0.862479
4.160001	0.724667	0.893364		0.888830		-0.898669		-0.898838
4.170001	0.733555	0.884199		0.879490		-0.934222		-0.934005
4.180001	0.742350	0.874680		0.869793		-0.969401		-0.969768
4.190001	0.751048	0.864812		0.859755		-1.004193		-1.003742
4.200002	0.759646	0.854597		0.849366		-1.038583		-1.038909
4.210002	0.768139	0.844041		0.838637		-1.072558		-1.072884
4.220002	0.776526	0.833147		0.827581		-1.106103		-1.105666
4.230002	0.784802	0.821920		0.816190		-1.139207		-1.139045
4.240003	0.792964	0.810364		0.804466		-1.171854		-1.172423
4.250003	0.801008	0.798484		0.792432		-1.204033		-1.203418
4.260003	0.808933	0.786284		0.780070		-1.235730		-1.236200
4.270003	0.816733	0.773770		0.767398		-1.266933		-1.267195
4.280004	0.824407	0.760947		0.754428		-1.297629		-1.296997
4.290004	0.831951	0.747819		0.741148		-1.327806		-1.327991
4.300004	0.839363	0.734392		0.727570		-1.357452		-1.357794
4.310004	0.846639	0.720671		0.713706		-1.386555		-1.386404
4.320004	0.853776	0.706662		0.699556		-1.415103		-1.415014
4.330005	0.860771	0.692370		0.685126		-1.443085		-1.443029
4.340005	0.867623	0.677801		0.670421		-1.470490		-1.470447
4.350005	0.874327	0.662962		0.655442		-1.497307		-1.497865
4.360005	0.880881	0.647857		0.640213		-1.523525		-1.522899
4.370006	0.887283	0.632492		0.624716		-1.549133		-1.549721
4.380006	0.893530	0.616875		0.608975		-1.574122		-1.574159
4.390006	0.899620	0.601011		0.592995		-1.598481		-1.598001
4.400006	0.905550	0.584907		0.576770		-1.622201		-1.622439
4.410007	0.911318	0.568569		0.560319		-1.645272		-1.645088
4.420007	0.916921	0.552003		0.543636		-1.667684		-1.668334
4.430007	0.922357	0.535216		0.526750		-1.689430		-1.688600
4.440007	0.927625	0.518216		0.509638		-1.710500		-1.711249
4.450007	0.932721	0.501008		0.492334		-1.730885		-1.730323
4.460008	0.937645	0.483600		0.474823		-1.750579		-1.751185
4.470008	0.942393	0.465998		0.457132		-1.769572		-1.769066
4.480008	0.946964	0.448210		0.439250		-1.787857		-1.788139
4.490008	0.951357	0.430242		0.421196		-1.805427		-1.805425
4.500009	0.955569	0.412103		0.402975		-1.822275		-1.822114
4.510009	0.959598	0.393798		0.384587		-1.838394		-1.838803
4.520009	0.963444	0.375337		0.366050		-1.853777		-1.853705
4.530009	0.967105	0.356725		0.347370		-1.868419		-1.868010
4.540009	0.970578	0.337970		0.328541		-1.882314		-1.882911
4.550010	0.973864	0.319080		0.309587		-1.895456		-1.895428
4.560010	0.976960	0.300062		0.290513		-1.907839		-1.907349
4.570010	0.979865	0.280925		0.271314		-1.919460		-1.919866
4.580010	0.982578	0.261675		0.252014		-1.930312		-1.929999
4.590011	0.985098	0.242320		0.232607		-1.940393		-1.940727
4.600011	0.987424	0.222869		0.213110		-1.949697		-1.949668
4.610011	0.989555	0.203328		0.193524		-1.958221		-1.958609
4.620011	0.991491	0.183706		0.173867		-1.965962		-1.965761
4.630012	0.993229	0.164010		0.154144		-1.972917		-1.972318
4.640012	0.994771	0.144249		0.134343		-1.979083		-1.980066
4.650012	0.996114	0.124431		0.114506		-1.984457		-1.983643
4.660012	0.997259	0.104562		0.094610		-1.989037		-1.989603
4.670012	0.998205	0.084652		0.074685		-1.992821		-1.992583
4.680013	0.998952	0.064707		0.054723		-1.995809		-1.996160
4.690013	0.999499	0.044737		0.034750		-1.997998		-1.997352
4.700013	0.999847	0.024749		0.014746		-1.999388		-2.000332
4.710013	0.999994	0.004751		-0.005245		-1.999977		-1.998544
4.720014	0.999942	-0.015249		-0.025249		-1.999768		-1.999736
4.730014	0.999689	-0.035242		-0.045234		-1.998758		-1.998544
4.740014	0.999237	-0.055222		-0.065207		-1.996948		-1.997352
4.750014	0.998585	-0.075180		-0.085145		-1.994340		-1.993775
4.760015	0.997734	-0.095107		-0.105059		-1.990934		-1.991391
4.770015	0.996683	-0.114997		-0.124925		-1.986732		-1.986623
4.780015	0.995434	-0.134840		-0.144744		-1.981735		-1.981855
4.790015	0.993986	-0.154630		-0.164503		-1.975945		-1.975894
4.800015	0.992341	-0.174357		-0.184196		-1.969365		-1.969338
4.810016	0.990499	-0.194015		-0.203818		-1.961997		-1.962185
4.820016	0.988461	-0.213595		-0.223351		-1.953844		-1.953244
4.830016	0.986228	-0.233090		-0.242805		-1.944910		-1.945496
4.840016	0.983800	-0.252492		-0.262159		-1.935198		-1.935363
4.850017	0.981178	-0.271793		-0.281405		-1.924712		-1.924634
4.860017	0.978364	-0.290984		-0.300539		-1.913455		-1.913309
4.870017	0.975358	-0.310060		-0.319552		-1.901434		-1.901388
4.880017	0.972163	-0.329011		-0.338441		-1.888652		-1.888871
4.890018	0.968779	-0.347831		-0.357193		-1.875114		-1.875162
4.900018	0.965207	-0.366512		-0.375801		-1.860826		-1.860857
4.910018	0.961449	-0.385046		-0.394255		-1.845794		-1.845360
4.920018	0.957506	-0.403426		-0.412560		-1.830024		-1.830459
4.930018	0.953380	-0.421645		-0.430697		-1.813522		-1.813769
4.940019	0.949073	-0.439695		-0.448656		-1.796294		-1.795888
4.950019	0.944587	-0.457569		-0.466442		-1.778348		-1.778603
4.960019	0.939923	-0.475261		-0.484037		-1.759690		-1.759529
4.970019	0.935082	-0.492762		-0.501442		-1.740329		-1.740456
4.980020	0.930068	-0.510066		-0.518644		-1.720271		-1.720190
4.990020	0.924881	-0.527166		-0.535643		-1.699525		-1.699925
5.000020	0.919525	-0.544055		-0.552422		-1.678099		-1.677871
5.010020	0.914001	-0.560726		-0.568980		-1.656003		-1.655817
5.020020	0.908311	-0.577173		-0.585312		-1.633243		-1.633167
5.030021	0.902458	-0.593390		-0.601417		-1.609831		-1.610518
5.040021	0.896444	-0.609369		-0.617272		-1.585774		-1.585484
5.050021	0.890271	-0.625104		-0.632882		-1.561083		-1.561046
5.060021	0.883942	-0.640589		-0.648236		-1.535768		-1.535416
5.070022	0.877460	-0.655818		-0.663340		-1.509839		-1.510382
5.080022	0.870826	-0.670784		-0.678170		-1.483305		-1.482964
5.090022	0.864045	-0.685483		-0.692731		-1.456178		-1.456142
5.100022	0.857117	-0.699907		-0.707018		-1.428469		-1.428723
5.110023	0.850047	-0.714051		-0.721025		-1.400188		-1.400709
5.120023	0.842837	-0.727909		-0.734735		-1.371347		-1.370907
5.130023	0.835489	-0.741476		-0.748152		-1.341958		-1.341701
5.140023	0.828008	-0.754747		-0.761276		-1.312032		-1.312494
5.150023	0.820395	-0.767716		-0.774086		-1.281581		-1.280904
5.160024	0.812654	-0.780378		-0.786597		-1.250617		-1.251101
5.170024	0.804788	-0.792727		-0.798792		-1.219153		-1.219511
5.180024	0.796800	-0.804760		-0.810659		-1.187202		-1.186728
5.190024	0.788694	-0.816470		-0.822210		-1.154775		-1.155138
5.200025	0.780472	-0.827854		-0.833428		-1.121887		-1.121759
5.210025	0.772137	-0.838907		-0.844312		-1.088550		-1.088381
5.220025	0.763694	-0.849624		-0.854862		-1.054777		-1.055002
5.230025	0.755146	-0.860002		-0.865066		-1.020583		-1.020432
5.240026	0.746495	-0.870035		-0.874925		-0.985980		-0.985861
5.250026	0.737746	-0.879720		-0.884438		-0.950983		-0.951290
5.260026	0.728901	-0.889054		-0.893593		-0.915606		-0.915527
5.270026	0.719966	-0.898032		-0.902390		-0.879862		-0.879765
5.280026	0.710942	-0.906650		-0.910830		-0.843766		-0.844002
5.290027	0.701833	-0.914906		-0.918901		-0.807333		-0.807047
